5/28/2017 Week 2,,,,5/21/2017 Week 1,,,
Name,g,Store,Price,Name,g,Store,Price
,,Week Total:,56.9,,,Week Total:,40.5
Bell Papper,,Walmart,0.68,Bell Pepper,,Walmart,0.68
Meat Sauce,680,Walmart,1.96,Meat Sauce,680,Walmart,1.96
Soy Sauce,,Walmart,1.58,Baked Bean,,Walmart,1.66
Spaghetti,454,Walmart,1,Mandarin Drink,,Walmart,0.6
Spaghetti,454,Walmart,1,Ham Buns,652,Walmart,2.68
Spaghetti,454,Walmart,1,Ham Buns,652,Walmart,2.68
Spaghetti,454,Walmart,1,BNLS CK BRST,,Walmart,10.19
Sugar,453,Walmart,3,1 Milk,946,Walmart,1.78
Chedder Cheese,907,Walmart,3,GV Mango Chu,454,Walmart,2.14
Foodbags,,Walmart,2.88,GV Mango Chu,454,Walmart,2.14
Butter,453.6,Walmart,4.96,Eggs,3400,Walmart,6.36
Biscut Mix,1130,Walmart,1.98,Shred Mozz,340,Harris Teeter,2.59
FP,20,Walmart,0.78,Gunters Honey,340,Harris Teeter,3.69
Mango Chu,454,Walmart,2.14,Salt,737,Harris Teeter,0.39
Mango Chu,454,Walmart,2.14,Bannanas,,Harris Teeter,0.96
Broccoli,340,Walmart,0.98,,,,
Broccoli,340,Walmart,0.98,,,,
Peas,340,Walmart,0.98,,,,
1 Milk,946,Walmart,1.78,,,,
Syrup,710,Walmart,1.64,,,,
BBQ Sauce,1130,Walmart,2.24,,,,
Canola Oil,1420,Walmart,1.88,,,,
Tomato,16,Walmart,1.9,,,,
Potatoes,32,Walmart,1.82,,,,
Onions,336,Walmart,0.65,,,,
Bagel,567,Walmart,2.98,,,,
Ham Buns,652,Walmart,1.67,,,,
BNLS CK BRST,,Walmart,8.3,,,,